ID_MOEDA;DATA_REF;vlr_cotacao
COP;2010-06-04;5,417273164
CRC;2010-01-29;7,561305463
SOS;2010-07-22;1,195126712
DZD;2010-06-29;4,158484757
SSP;2010-05-17;4,010311723
SGD;2010-04-19;2,757708371
NIO;2010-03-18;7,748846054
MGA;2010-02-09;7,276965678
SLL;2010-01-21;5,179867864
XAU;2010-05-07;4,498002291
EGP;2010-01-15;4,868423402
SGD;2010-03-22;6,271458685
MZN;2010-02-02;4,846038878
SGD;2010-01-20;6,064362407
ALL;2010-04-05;7,846318662
PEN;2010-02-05;6,576250792
EUR;2010-04-12;1,09104389
GIP;2010-04-06;3,705125749
ANG;2010-05-14;7,619714677
VUV;2010-03-08;1,971124113
TTD;2010-08-18;5,429693758
TTD;2010-04-01;6,267070651
CVE;2010-05-27;5,524240315
JPY;2010-08-20;1,021636009
XOF;2010-01-12;1,622704923
OMR;2010-02-08;1,411485553
ANG;2010-06-18;7,588788986
SLL;2010-03-11;6,408272564
PGK;2010-06-02;6,543435454
MZN;2010-09-01;2,427894831
LBP;2010-01-07;1,269178391
EGP;2010-11-23;6,285938323
MRO;2010-03-17;6,556305408
EGP;2010-05-06;7,842859387
XAF;2010-04-28;2,873848796
ANG;2010-05-13;5,598275304
PHP;2010-10-19;6,747461319
LSL;2010-02-24;7,011759341
XDR;2010-04-16;7,643753529
BYN;2010-03-10;2,91796279
ALL;2010-03-02;7,518490732
EUR;2010-10-22;5,397498012
ISK;2010-02-17;5,972538292
ANG;2010-08-13;1,120273113
SZL;2010-08-10;1,23983109
XOF;2010-06-22;1,116248488
MGB;2010-05-31;7,675410211
MUR;2010-07-07;1,732202172
PHP;2010-06-29;7,254088402
EGP;2010-03-31;6,96444726
VES;2010-02-01;5,815602958
JPY;2010-07-19;5,714897633
XPF;2010-06-30;4,745448291
SBD;2010-01-13;2,017353892
IRR;2010-04-02;3,907255292
VUV;2010-02-11;3,125571847
CZK;2010-03-31;7,635063827
ZWL;2010-07-16;7,625368178
MZN;2010-07-14;2,442153752
ANG;2010-05-17;2,619666576
ISK;2010-11-19;6,46067822
PEN;2010-07-27;3,026056886
IRR;2010-03-22;2,069850504
CAD;2010-03-15;6,068578124
IRR;2010-06-01;5,327188492
VES;2010-10-11;7,029490888
SGD;2010-07-20;6,328104675
COP;2010-09-01;1,110469401
ARS;2010-08-16;1,205854177
ALL;2010-01-29;1,520840943
BYN;2010-02-22;3,840969563
XDR;2010-10-14;5,257839024
WST;2010-02-19;3,635508001
CAD;2010-05-20;7,637552619
MGB;2010-09-06;3,341608584
FJD;2010-06-16;6,184248745
OMR;2010-11-17;5,241006613
MGA;2010-07-01;7,114761531
EUR;2010-03-26;5,313992262
KMF;2010-04-22;3,106076241
COP;2010-02-02;1,251213193
XAF;2010-10-15;1,504285574
ALL;2010-06-24;5,415352643
ANG;2010-07-12;2,657788277
CVE;2010-09-06;7,622863114
CRC;2010-06-14;3,31094116
MZN;2010-03-16;5,543143451
IRR;2010-06-17;7,664229631
TRY;2010-07-26;2,633676827
FJD;2010-09-16;6,193335235
MZN;2010-10-20;4,107067525
EGP;2010-02-26;5,394729674
SAR;2010-11-26;2,077986121
XOF;2010-10-27;4,822844088
DJF;2010-09-02;3,895876944
SZL;2010-11-05;1,105285704
SLL;2010-03-10;2,663018703
OMR;2010-10-14;5,746669054
VUV;2010-04-06;6,947080374
CRC;2010-07-02;4,937346041
COP;2010-09-29;1,822343171
SZL;2010-07-20;7,775999963
CAD;2010-07-27;4,717452407
VES;2010-08-24;6,601810038
NOK;2010-11-29;7,815277398
TRY;2010-11-09;3,338644564
ALL;2010-02-12;5,782351196
AFN;2010-07-29;7,652906358
SGD;2010-09-22;7,303199589
USD;2010-01-27;6,981669784
AFN;2010-03-02;3,700180292
GEL;2010-09-08;6,7025792
SOS;2010-07-20;1,87609607
ARS;2010-09-28;7,945040882
COP;2010-07-20;3,255421281
TTD;2010-02-09;7,611142218
ANG;2010-06-16;2,632930398
MUR;2010-08-25;3,145697892
XAU;2010-10-25;1,965705931
VES;2010-03-02;4,681973457
CLP;2010-08-12;7,746177435
OMR;2010-04-14;1,02318269
SZL;2010-06-21;5,61899507
GBP;2010-07-01;1,132266462
SSP;2010-05-11;1,586823344
ISK;2010-07-19;6,605368197
AWG;2010-10-25;3,414202034
FJD;2010-05-10;2,860525727
VES;2010-10-06;1,512353182
FJD;2010-06-25;2,403136253
MRU;2010-03-31;6,287924349
VES;2010-04-12;4,364762843
OMR;2010-08-16;3,452313721
GBP;2010-01-07;4,58590734
COP;2010-03-02;7,352309108
NIO;2010-08-26;3,071518123
GBP;2010-01-20;1,772973716
RON;2010-08-31;4,395508289
FJD;2010-05-25;7,272197545
AFN;2010-06-03;7,557199895
WST;2010-07-09;2,784001529
DJF;2010-05-26;4,674946427
ARS;2010-07-06;6,146984041
ILS;2010-01-22;1,503420651
ALL;2010-07-22;3,536699831
DJF;2010-08-04;3,449321747
LSL;2010-05-24;7,675211191
SZL;2010-01-05;1,035046279
CRC;2010-11-02;4,973477125
VES;2010-08-19;6,744551539
NOK;2010-05-21;2,455138028
XAU;2010-01-18;1,032717288
NIO;2010-02-23;6,282210767
EUR;2010-07-09;1,8873505
GEL;2010-11-08;4,254145741
BOB;2010-04-07;2,208939135
CUP;2010-07-21;7,614193022
MUR;2010-09-29;5,247995257
DJF;2010-10-13;2,942785621
SAR;2010-09-09;2,998998523
UGX;2010-01-13;7,988163531
SOS;2010-05-28;4,633606195
ZWL;2010-06-21;4,70177114
VES;2010-01-14;7,988471448
TRY;2010-09-01;4,821774721
ANG;2010-01-26;4,74308759
XAU;2010-08-19;4,931831479
CRC;2010-07-07;7,291439056
EGP;2010-03-22;7,524264395
CLP;2010-05-20;5,489652157
TTD;2010-10-06;7,874269485
MMK;2010-01-20;7,396063864
VUV;2010-09-29;7,802663207
THB;2010-11-02;1,894739687
PEN;2010-01-22;6,6264714
AFN;2010-05-27;6,006370425
FJD;2010-03-24;1,824304163
ZAR;2010-01-19;2,607661128
PHP;2010-08-24;6,795856953
BOB;2010-03-31;1,258467197
GBP;2010-06-16;6,566377401
JPY;2010-07-14;6,431916296
CUP;2010-05-21;3,210765719
ISK;2010-09-10;5,640815496
FJD;2010-09-14;7,674616635
CUP;2010-09-15;1,185290873
ZWL;2010-06-14;7,586225092
WST;2010-08-12;3,486150444
CDF;2010-05-20;1,247001231
LSL;2010-06-04;4,047142088
ZAR;2010-06-08;4,140595078
ARS;2010-04-22;3,614069343
MMK;2010-07-26;4,781242251
VUV;2010-05-20;7,048244238
ALL;2010-04-08;5,744905829
XOF;2010-08-05;3,333028197
GEL;2010-03-24;2,388398349
RON;2010-09-08;4,165715814
XOF;2010-04-22;3,915057123
CAD;2010-04-21;5,356514513
TRY;2010-02-25;6,911309361
VES;2010-02-18;7,789784908
ALL;2010-06-17;6,048087835
PHP;2010-10-11;4,022212863
SBD;2010-10-29;4,680589497
USD;2010-07-26;1,038730025
AWG;2010-05-26;5,462368071
THB;2010-09-20;4,094138741
XOF;2010-02-03;4,395298421
ARS;2010-10-12;2,383822978
MGB;2010-08-18;2,98807621
VUV;2010-06-23;4,676477671
MRO;2010-04-30;5,093962193
CVE;2010-06-01;4,941143274
OMR;2010-02-25;7,036630571
SBD;2010-03-18;6,643890858
XOF;2010-11-04;6,176789463
CDF;2010-06-03;5,106833398
AWG;2010-06-16;1,800213575
ARS;2010-02-09;1,996854424
CUP;2010-07-05;7,87306577
MRU;2010-01-01;3,773824334
SBD;2010-06-29;6,735726655
ZAR;2010-03-15;4,88933593
SAR;2010-07-07;3,362942934
THB;2010-12-01;1,554035544
HTG;2010-05-31;1,8639763
MXN;2010-05-14;1,031444728
XPF;2010-07-14;2,375331461
BYN;2010-09-10;5,347980022
XDR;2010-08-09;3,650225461
XDR;2010-11-09;2,657633483
ZWL;2010-10-19;4,596307278
COP;2010-10-26;2,120835066
JPY;2010-05-05;6,933602512
CLP;2010-07-06;7,267184079
SZL;2010-04-28;7,661005259
THB;2010-08-10;4,132676423
BYN;2010-08-03;5,354403734
KMF;2010-10-19;4,750599861
XPF;2010-06-17;1,4133147
SZL;2010-01-11;7,590051115
USD;2010-01-11;3,605659604
FJD;2010-04-19;2,290777624
EUR;2010-09-03;1,946313798
USD;2010-07-29;1,972955763
UYU;2010-03-22;1,820134342
MGB;2010-11-15;1,339360654
DJF;2010-08-03;7,866112173
MXN;2010-03-11;3,36097151
COP;2010-10-08;5,747561932
MZN;2010-05-31;3,79560262
BYN;2010-03-09;6,068215549
CZK;2010-05-07;5,111935735
MGA;2010-05-26;1,540691197
XPF;2010-09-03;7,97124517
ARS;2010-03-19;3,939300418
MUR;2010-03-25;1,700812101
IRR;2010-06-11;5,637666225
GIP;2010-11-11;3,604694128
PHP;2010-07-21;7,810209274
ILS;2010-09-21;4,288262427
CUP;2010-07-14;6,142921448
VES;2010-02-05;3,553423345
VES;2010-08-18;7,940350354
MRO;2010-08-19;2,659961641
SSP;2010-10-15;6,426284492
LSL;2010-03-25;1,0215801
CZK;2010-04-26;2,745306551
RON;2010-03-02;5,052888989
UGX;2010-04-08;7,8821944
SGD;2010-10-12;2,46085161
CRC;2010-04-07;7,18249172
SGD;2010-10-18;4,620321929
NIO;2010-08-12;7,434157193
XDR;2010-02-08;5,657400072
WST;2010-09-22;1,862125874
PEN;2010-04-02;2,668915033
CRC;2010-10-06;5,377270997
ILS;2010-10-01;1,457132876
PHP;2010-06-04;2,22066921
ISK;2010-07-06;5,053065062
CZK;2010-09-06;7,409931421
PGK;2010-02-01;2,769344985
MUR;2010-08-16;4,800441623
KES;2010-11-04;2,080319703
SGD;2010-06-03;4,538493037
KES;2010-06-22;2,431928635
MRU;2010-10-01;4,714799225
CVE;2010-02-02;7,706472337
XAU;2010-08-24;2,035241902
XOF;2010-01-06;7,939770401
ZAR;2010-07-15;1,444580853
ANG;2010-06-01;1,151153743
VUV;2010-04-07;7,704769194
BYN;2010-07-02;1,674560666
SBD;2010-01-04;7,271928012
CUP;2010-01-29;5,032830119
CUP;2010-10-08;7,178468347
PHP;2010-06-07;1,764556885
IRR;2010-01-05;5,474959314
TTD;2010-02-19;2,027693331
NOK;2010-02-16;4,673057616
IRR;2010-05-27;2,206348956
AWG;2010-11-03;3,195000172
SBD;2010-05-26;6,655728161
CAD;2010-11-26;2,903188586
RON;2010-08-30;2,787207544
EGP;2010-09-06;2,7144714
ZAR;2010-06-23;1,668638051
TRY;2010-01-07;5,071196735
NIO;2010-06-03;5,744912088
PHP;2010-07-28;7,164423048
XOF;2010-01-08;6,783576548
MXN;2010-11-03;5,757668138
XAF;2010-03-22;4,134751737
THB;2010-10-07;5,132977188
UYU;2010-09-10;1,216160238
MXN;2010-07-29;5,900717556
PHP;2010-11-18;5,161783338
FJD;2010-09-30;4,705187857
TRY;2010-09-14;7,544798911
PHP;2010-09-30;7,165096462
SLL;2010-02-08;1,586319327
NOK;2010-08-02;6,637911081
VUV;2010-10-12;7,786188781
MUR;2010-01-22;6,668757915
GEL;2010-05-21;1,702018321
MGB;2010-09-17;6,306061864
ALL;2010-11-12;5,178162217
GEL;2010-02-19;2,847110033
MXN;2010-02-23;7,007264912
ZAR;2010-07-22;5,941877961
IRR;2010-03-17;7,12912643
XAF;2010-05-18;4,405935764
VES;2010-10-28;1,91669488
ILS;2010-02-04;3,646499991
SSP;2010-08-02;3,741874754
TRY;2010-03-02;3,803206265
AWG;2010-11-08;1,152465522
NIO;2010-10-05;5,574490964
ANG;2010-01-13;4,704670906
SLL;2010-09-02;5,364077687
MXN;2010-07-01;2,592629492
SSP;2010-07-06;4,443834662
ANG;2010-09-21;5,000006855
DJF;2010-06-02;5,663299739
UYU;2010-10-21;3,998745203
THB;2010-04-05;1,198054433
ZWL;2010-07-26;2,749077499
JPY;2010-09-15;2,892764449
MMK;2010-03-17;5,321013033
IRR;2010-02-24;4,425023735
ISK;2010-04-21;2,493367791
CVE;2010-11-10;4,762495995
SOS;2010-10-25;3,72616303
MGA;2010-05-06;7,589054763
CVE;2010-02-22;3,980578482
ZWL;2010-07-23;5,618224025
VES;2010-07-26;4,295332432
CRC;2010-08-04;6,018707991
CLP;2010-11-02;2,867595315
LBP;2010-09-24;1,309360385
VUV;2010-02-24;7,772548616
PHP;2010-03-29;5,418007493
CZK;2010-07-12;1,928961515
CVE;2010-04-22;1,282249451
ISK;2010-11-12;6,002846062
CZK;2010-08-06;4,950601518
FJD;2010-03-23;3,14795804
SOS;2010-01-06;4,155031323
EGP;2010-06-10;4,087020338
GIP;2010-08-06;4,020269811
XAF;2010-10-13;6,837354064
EUR;2010-06-18;7,733538628
SLL;2010-08-17;5,971523166
WST;2010-08-18;1,680269659
PGK;2010-08-05;1,322403908
BYN;2010-02-02;2,5119313
ILS;2010-08-31;1,121523976
VUV;2010-10-22;2,665420711
MXN;2010-05-27;1,531372309
EUR;2010-07-01;4,365896046
COP;2010-10-20;4,20389843
EUR;2010-07-26;4,663035274
GBP;2010-11-30;6,239337623
CRC;2010-03-23;7,008063078
THB;2010-05-20;5,133142412
SBD;2010-01-20;6,779818952
NIO;2010-01-21;1,209961414
COP;2010-09-09;3,783376873
TTD;2010-05-18;4,839759529
PEN;2010-07-01;2,147487879
WST;2010-01-19;3,64393568
SZL;2010-01-07;3,266059458
AWG;2010-08-20;7,677865207
KES;2010-01-15;3,977498055
KMF;2010-07-15;6,57528615
PEN;2010-02-03;3,610758185
ALL;2010-05-13;5,838240325
XDR;2010-09-13;3,149405837
WST;2010-03-17;1,930990517
ANG;2010-09-07;6,642103016
HTG;2010-04-14;3,426707745
ISK;2010-11-10;1,281028211
COP;2010-08-26;6,238682568
ZWL;2010-03-25;6,831223249
BOB;2010-09-30;7,035497367
MXN;2010-01-08;3,050899327
TRY;2010-02-05;6,935326099
UGX;2010-10-27;1,22714889
VES;2010-05-07;6,889093399
AWG;2010-01-28;3,366804421
GIP;2010-08-10;6,224379838
KMF;2010-08-10;5,125203729
CAD;2010-05-07;2,704502881
USD;2010-01-22;5,248682439
CVE;2010-09-21;4,251975298
CRC;2010-11-18;3,056081772
SLL;2010-09-08;4,121233821
USD;2010-06-24;5,758671999
MRO;2010-08-12;5,431220412
AFN;2010-08-16;4,61812228
KES;2010-10-14;5,248632789
DJF;2010-08-23;5,01172024
CVE;2010-07-28;4,71471411
PHP;2010-10-05;6,882290006
XDR;2010-07-13;5,496770978
TTD;2010-10-05;6,906103551
PEN;2010-03-02;1,683670104
DZD;2010-09-17;5,590924919
TTD;2010-02-08;7,094500303
NIO;2010-08-24;2,022301018
WST;2010-01-14;2,457439482
GEL;2010-11-01;6,749785721
CRC;2010-09-16;7,536760509
ANG;2010-01-27;1,823644519
KES;2010-09-14;2,31878686
VES;2010-10-18;3,348900557
GEL;2010-06-29;6,177718639
USD;2010-05-31;5,378465533
XAF;2010-02-17;1,528620243
ILS;2010-09-07;7,950131118
BYN;2010-11-16;5,127127588
CDF;2010-10-22;7,882759333
SGD;2010-09-03;4,220599413
SZL;2010-07-13;4,208982825
XPF;2010-07-22;4,930319011
KMF;2010-02-08;1,362029731
EGP;2010-01-21;7,07894963
GBP;2010-02-11;5,351673782
NIO;2010-11-04;1,648315489
PEN;2010-08-05;7,562275946
MUR;2010-04-27;4,104395568
KMF;2010-05-19;2,378358066
GBP;2010-06-15;4,396348178
ILS;2010-04-02;3,245116889
KMF;2010-10-11;4,080031276
KMF;2010-04-28;5,67380023
IRR;2010-02-08;6,907218397
EUR;2010-11-26;6,990372837
MZN;2010-01-20;6,006975412
NIO;2010-06-24;5,059397817
UGX;2010-06-17;5,060204744
TRY;2010-07-16;3,183132827
FJD;2010-04-09;3,987462819
EGP;2010-09-24;5,20942086
MRO;2010-01-06;3,469334722
MZN;2010-05-03;4,12455374
DJF;2010-07-29;3,167818308
CDF;2010-10-07;4,102535546
VUV;2010-01-06;1,547731161
SAR;2010-08-23;7,349917948
HTG;2010-06-24;1,223281562
DZD;2010-01-21;3,136170387
PEN;2010-09-07;2,219765902
GIP;2010-05-10;5,055994451
MGB;2010-05-14;1,904498339
PHP;2010-07-01;3,63990438
ILS;2010-09-16;2,729055762
NIO;2010-03-02;4,988751173
SAR;2010-04-28;6,511562228
LSL;2010-10-15;6,44577384
BYN;2010-07-19;2,210536301
CUP;2010-06-07;6,429159224
SOS;2010-07-26;3,688228667
VES;2010-07-21;6,777678549
NOK;2010-05-06;7,182660699
KES;2010-07-01;5,8666839
EGP;2010-10-13;2,605340481
COP;2010-02-16;6,09743309
SOS;2010-11-30;3,998933792
BOB;2010-11-01;2,469374001
GBP;2010-03-22;5,358803868
GIP;2010-06-09;1,510121405
DZD;2010-02-05;6,57058686
LBP;2010-07-20;4,757323146
ARS;2010-04-16;6,64381659
EGP;2010-09-23;3,857028842
ALL;2010-04-30;5,630730987
LSL;2010-06-23;3,37017858
CRC;2010-11-03;1,327727377
MRO;2010-01-20;1,855967522
NIO;2010-01-29;5,902043939
SLL;2010-07-27;2,711493194
XAF;2010-10-04;5,125266731
CZK;2010-11-18;7,949192345
SLL;2010-06-28;4,527937055
RON;2010-04-12;1,149231136
MZN;2010-07-29;2,882608175
CZK;2010-11-08;3,215662777
MZN;2010-10-06;1,900864661
CUP;2010-04-05;2,830479145
UGX;2010-09-02;2,5000965
WST;2010-05-11;4,355600834
UYU;2010-01-19;2,16021055
ALL;2010-06-28;7,215428054
LBP;2010-02-22;5,696422577
JPY;2010-01-28;6,802251458
PGK;2010-08-02;1,451064646
MRO;2010-08-03;4,051370323
MGA;2010-01-18;5,086975634
EUR;2010-04-27;4,673689723
DJF;2010-11-16;3,951950908
SBD;2010-04-29;2,065437436
CAD;2010-09-14;3,637172759
SBD;2010-05-17;2,522502303
NIO;2010-10-04;1,436754823
MGB;2010-09-27;1,752972841
NOK;2010-10-01;5,321931362
IRR;2010-08-02;6,200391054
NIO;2010-10-28;1,430477142
VUV;2010-05-11;3,023377001
USD;2010-01-04;7,81613189
ANG;2010-10-11;2,863428414
TTD;2010-11-19;3,384033203
HTG;2010-01-11;3,320903838
KMF;2010-01-22;5,069458961
GEL;2010-02-15;2,468434811
GEL;2010-10-15;2,39647305
ARS;2010-01-19;1,138688505
NOK;2010-11-03;5,467472494
MGB;2010-07-07;7,316490531
UGX;2010-07-27;4,942483425
CUP;2010-03-03;6,328654587
FJD;2010-10-13;4,15149653
MGA;2010-01-15;2,363460779
RON;2010-04-01;2,804799318
OMR;2010-01-27;3,428617835
AWG;2010-10-26;2,101805091
SLL;2010-08-26;1,802863419
CLP;2010-05-03;2,721433342
DZD;2010-03-22;7,626006961
XOF;2010-08-09;1,793477774
UYU;2010-08-25;6,675325572
VUV;2010-07-02;5,721291721
CVE;2010-06-10;4,19253844
LBP;2010-08-10;3,276672184
EUR;2010-05-06;4,36479789
KES;2010-02-15;4,122337401
CLP;2010-09-29;3,033623815
ZWL;2010-03-04;4,972610533
GBP;2010-03-18;7,599645376
KES;2010-08-25;6,627060533
PHP;2010-05-10;5,535315752
TRY;2010-02-23;5,365895987
SAR;2010-10-15;5,182213545
KES;2010-01-05;6,311139584
BYN;2010-04-02;4,821559012
DZD;2010-03-24;5,696888208
SLL;2010-07-08;4,660119653
SGD;2010-11-18;1,606673598
PGK;2010-06-10;7,075175762
COP;2010-11-12;1,052085221
BYN;2010-02-11;5,271093667
PGK;2010-01-19;4,208281875
ALL;2010-03-31;4,798289537
AWG;2010-11-05;5,943071246
LSL;2010-01-20;6,855636358
KMF;2010-03-09;2,57958889
MXN;2010-09-22;3,970341682
EUR;2010-01-22;5,49137491
CUP;2010-11-17;2,892093539
OMR;2010-10-01;3,95413512
SGD;2010-05-27;4,638090193
MMK;2010-10-18;4,271656156
BOB;2010-07-07;4,775970101
UGX;2010-04-19;3,012530625
UYU;2010-01-26;7,415565729
GIP;2010-07-21;7,542942226
ANG;2010-04-01;1,796243191
ISK;2010-11-29;6,392124414
EGP;2010-02-12;5,201289833
HTG;2010-11-26;4,027560115
MGB;2010-07-06;6,301624596
JPY;2010-02-08;1,170253813
CLP;2010-01-11;5,648062408
XAF;2010-09-24;7,389641821
MRU;2010-03-08;7,592372179
CUP;2010-11-02;4,614802778
ZWL;2010-07-30;3,035954893
OMR;2010-04-13;1,112996578
XPF;2010-02-26;6,078032196
MGB;2010-07-26;6,242323339
PHP;2010-07-26;2,319651783
BYN;2010-07-14;6,360759377
RON;2010-01-26;1,561581194
GBP;2010-01-26;2,803579748
USD;2010-11-12;1,136606514
AWG;2010-01-13;2,466361165
HTG;2010-10-15;5,585984468
XPF;2010-08-13;7,340714633
XAU;2010-11-16;6,545924246
XOF;2010-04-21;3,540517926
FJD;2010-03-17;3,081813335
USD;2010-02-04;2,387845516
VUV;2010-07-23;3,214340568
JPY;2010-02-09;2,354889989
MZN;2010-03-08;5,394993365
CUP;2010-01-25;4,267403722
TTD;2010-06-30;2,836738467
CDF;2010-01-29;6,693370461
PEN;2010-02-11;7,448368549
GBP;2010-01-15;5,507883549
TTD;2010-07-20;1,520322323
KES;2010-10-26;5,34209621
MXN;2010-10-12;5,596803308
PGK;2010-10-27;4,478516281
SSP;2010-05-10;5,115973294
MRU;2010-09-13;1,979543865
ZAR;2010-11-05;2,325445056
GEL;2010-07-02;4,584887207
DZD;2010-06-18;5,72008884
NOK;2010-09-15;3,671020746
ANG;2010-07-09;7,1524176
GEL;2010-07-09;5,680808067
RON;2010-10-22;6,055011392
MRU;2010-06-11;3,281221688
LSL;2010-07-12;2,345785558
GIP;2010-03-29;4,199460328
CZK;2010-03-01;7,016402304
NOK;2010-09-29;6,94670403
CZK;2010-10-25;3,320106924
DZD;2010-06-16;7,499651432
TRY;2010-01-20;3,025244951
SGD;2010-08-31;4,274632275
ANG;2010-08-16;6,04627496
USD;2010-04-05;6,59812963
HTG;2010-03-26;2,707187355
NIO;2010-02-11;1,470415056
XOF;2010-07-27;1,48956269
MRO;2010-07-22;7,570713222
